id,hostname,eventData.name,eventData.description,eventData.sourceId,eventData.url,eventData.startDate,eventData.cancelled,eventData.location.sourceId,eventData.location.url,eventData.location.name,eventData.location.location.name,eventData.location.location.address.country.longName,eventData.location.location.address.city,eventData.location.location.address.postalCode,eventData.location.location.address.street,eventData.location.location.address.streetHouseNumber,eventData.location.location.coordinate.lat,eventData.location.location.coordinate.lon,eventData.location.category,eventData.location.phone,eventData.location.website,eventData.location.eventPlaceId,eventData.webpageEvent,eventData.artists,eventData.sourceDate,dayofweek,year,month,season,district,supercategory,subcategory,starting_hour,time_of_day
prinz.de/stuttgart/events/395043-klavier-duo-bugallo-williams-hand-in-hand-1,prinz.de,Klavier Duo Bugallo-Williams „Hand in Hand“,"Als „einfach umwerfend“ (Gramophone), „sehr eindrucksvoll“ (Stuttgarter Zeitung) und „überaus brillant“ (San Francisco Classical Voice) wurden sie bereits bejubelt, jetzt kehrt das Bugallo-Williams Piano Duo auf seiner Tournee durch Europa auch zurück nach Stuttgart. Die ehemaligen Stipendiaten der Akademie Schloss Solitude Helena Bugallo und Amy Williams bieten ein Programm mit virtuoser zeitgenössischer Musik für vierhändig gespieltes Klavier. Zentrales Moment ist hierbei das Spiel der Komponisten mit der Spielsituation der Musiker: nicht nur vierhändig Seite an Seite sondern auch mit überkreuzten und verschränkten Armen. Diese Idee steht im Fokus zweier der aufgeführten Stücke: „Kéz a kézben“ („Hand in Hand“), ein kurzer Satz aus György Kurtágs Jakétok und Amy Williams Crossings, welches die Harmonien von Bachs Choral „Ein feste Burg ist unser Gott“ mit zeitgenössischen Harmonien verflicht. Dazu werden Transkriptionen von Conlon Nancarrows Studies für selbstpielendes Klavier und die Uraufführung eines neuen Stückes des US-amerikanischen Komponisten Joseph Michaels zu hören sein. Das Konzert schließt mit einem der berühmtesten Meisterwerke des zwanzigsten Jahrhunderts, mit Igor Stravinskys La Sacre du Printemps.",395043,http://prinz.de/stuttgart/events/395043-klavier-duo-bugallo-williams-hand-in-hand-1,2014-02-26 08:00:00+00:00,False,10857,http://prinz.de/stuttgart/locations/10857-gedok-galerie/,Gedok Galerie,Gedok Galerie,Germany,Stuttgart,70174,Hölderlinstr. 17,Hölderlinstr. 17,48.78497099,9.16339195,konzert/klassik,,,8d9796775111b5d4cb0569560a5ea1de10cee0ad8cbdfbeb63696abf7fbad415,,,,2,2014,2,winter,Relenberg,konzert,klassik,08:00:00,Morning
prinz.de/stuttgart/events/411928-rosenberg-oder-tal-bingo-1,prinz.de,Rosenberg oder Tal Bingo,"BINGO! BINGO! BINGO! – oder doch lieber feiern? Wir sagen, BEIDES!! Der Perkins Park macht’s möglich, mit unserer allseits beliebten Rosenberg oder Tal - BINGO NIGHT. 
 
Wer mitspielen will, sollte bis spätestens 22 Uhr seine Spielscheine sichern. 
Nachdem unsere reizende Bingo-Fee an DJ Chris Davids Seite die Gewinnzahlen gezogen hat und die glücklichen Gewinner feststehen, beginnt der musikalische Teil des Abends: Rosenberg-Sounds vom Allerfeinsten! Viel Glück und jede Menge 
Spaß wünscht das Perkins Park-Team! 
 
Übrigens: natürlich gibt es auch an diesem Mittwoch alle Getränke zum halben Preis 
(außer Jahrgangschampagner und Cocktails).",411928,http://prinz.de/stuttgart/events/411928-rosenberg-oder-tal-bingo-1,2014-05-07 08:00:00+00:00,False,12212,http://prinz.de/stuttgart/locations/12212-perkins-park/,Perkins Park,Perkins Park,Germany,Stuttgart,70191,Stresemannstr. 39,Stresemannstr. 39,48.80476138,9.17459728,party/popcharts,,,717a666b87b1a9f9aaa4ff2f0f621397d2fadb91d3867714b12cc9b821a865e5,,,,2,2014,5,spring,Am Rosensteinpark,party,popcharts,08:00:00,Morning
www.last.fm/event/3850384+SHELLY+BONET+supporting+MICHAEL+BOLTON,www.last.fm,SHELLY BONET supporting MICHAEL BOLTON,"<div class=""bbcode"">Schon für die Ohren allein ist sie kaum zu fassen. Und kommen erst die Augen hinzu, wird die US-Sängerin SHELLY BONET vollends zum Rätsel: Ihre Stimme ist so groß, als wären Nina Simone und Janis Joplin in einer Person wiederauferstanden.</div>",3850384,http://www.last.fm/event/3850384+SHELLY+BONET+supporting+MICHAEL+BOLTON,2014-04-30 20:00:00+00:00,False,10350065,http://www.last.fm/venue/10350065+KKL+Hegel-Saal,KKL Hegel-Saal,KKL Hegel-Saal,Germany,Stuttgart,,,,,,,,,2056ee8123c5ef099933ee5ddd27d20660ae990f2e84966cd2fde64bb2dd3f68,,"['SHELLY BONET', 'Michael Bolton']",2015-07-15 11:20:46.403752,2,2014,4,spring,Other,anderes,anderes,20:00:00,Evening
prinz.de/stuttgart/events/117999-shout-out-louds-1,prinz.de,SHOUT OUT LOUDS,"Nach umjubelten und meist ausverkauften Konzerten im März, kommen die schwedischen Shout Out Louds ab dem 25. September für weitere Konzerte nach Deutschland.
Im Gepäck hat das Quintett sein viertes Album  ""Optica"", dessen Songs neben einigen alten Hits für beste Partystimmung sorgen.",117999,http://prinz.de/stuttgart/events/117999-shout-out-louds-1,2013-10-02 08:00:00+00:00,False,10421,http://prinz.de/stuttgart/locations/10421-wagenhallen/,Wagenhallen,Wagenhallen,Germany,Stuttgart,70191,Innerer Nordbahnhof 1,Innerer Nordbahnhof 1,48.800375,9.185943,konzert/pop,,,65471a0456ae6120c192809883714dc3cafd7233bfd5efebd8045b8947dc1121,,,,2,2013,10,autumn,Am Rosensteinpark,konzert,pop,08:00:00,Morning
prinz.de/stuttgart/events/390098-rosenberg-oder-tal-bingo-night-1,prinz.de,Rosenberg oder Tal - Bingo night,"Thank God it’s Wednesday! Die Woche zieht sich mal wieder fast so lange wie der deutsche Winter - was bleibt einem da anderes übrig, als das
Warten auf das lang ersehnte Wochenende mit einer durchfeierten Nacht im Perkins Park zu überbrücken. Heute könnt Ihr bei der Rosenberg oder Tal Bingo Night nicht nur bis in die frühen Morgenstunden abfeiern, sondern auch noch beim Bingo abräumen. Bingowütige sollten sich bis 22
Uhr ihre Spielscheine sichern. Sobald alle Gewinnzahlen markiert wurden und die glücklichen Gewinner feststehen, geht mit DJ Chris David der
musikalische Teil des Abends los: Rosenberg oder Tal-Sounds vom Allerfeinsten! Wir vom Perkins Park-Team drücken Euch die Daumen und
wünschen Euch viel Spaß. Für alle, die nicht gewonnen haben, gibt es ein Trostpflaster in Form unserer gewohnt günstigen Mittwochabend-Preise, denn auch heute gibt es alle Getränke für die
Hälfte! (Ausnahme: Jahrgangschampagner und Cocktails)",390098,http://prinz.de/stuttgart/events/390098-rosenberg-oder-tal-bingo-night-1,2014-02-19 08:00:00+00:00,False,12212,http://prinz.de/stuttgart/locations/12212-perkins-park/,Perkins Park,Perkins Park,Germany,Stuttgart,70191,Stresemannstr. 39,Stresemannstr. 39,48.80476138,9.17459728,party/popcharts,,,717a666b87b1a9f9aaa4ff2f0f621397d2fadb91d3867714b12cc9b821a865e5,,,,2,2014,2,winter,Am Rosensteinpark,party,popcharts,08:00:00,Morning
prinz.de/stuttgart/events/420052-bakermat-1,prinz.de,Bakermat,"Im Western nichts Neues? Von wegen! Aus Holland kommt mit Bakermat eines der frischesten Talente der aktuellen Elektronikszene. Kein Wunder: Sein mit melodiösen Jazz- und Soul-Elementen durchzogener Deep House-Sound ist gerade dabei, die Tanzflächen auf der ganzen Welt zu erobern. Und genau diese Mischung wird auch im Romy zünden!

Grimmig-monotoner Techno ist so 2013. Das zumindest ist die Überzeugung zu der man gekommen ist, nachdem man ein Set von Bakermat gehört hat. Wie das kommt? Ganz einfach: Seine Interpretation von Deep House ist melodiös, fröhlich, nach vorne gehend und mit allerlei Einflüssen aus Soul und Jazz versehen. Da marschiert die Bassdrum nicht munter alleine drauf los, sondern wird begleitet von Saxofon-Klängen, Trompeten-Einlagen... - selbst die ein oder andere Flöte schaut ab und zu vorbei. Damit trifft Bakermat nicht nur den Nerv der Zeit, sondern hat auch gleichzeitig ein stabiles Fundament für eine dicke Karriere gelegt. Gut so, denn das, was der junge Mann aus Utrecht nach nur wenigen Monaten vorzuweisen hat, ist ganz schön stattlich. Noch vor zwei Jahren war er „nur“ Student mit einem Faible für Deep House. Dann erschien 2012 seine erste EP „Vandaag“ auf „Deliciente Records“, mit der er seinen Stil ziemlich knackig auf den Punkt brachte. Schwupp, zwei Jahren später wird er als eines der heißesten Eisen der Elektronik-Welt gehandelt. Booking-Agenturen und Labels reißen sich um ihn, die Anzahl der Gigs wächst unaufhörlich. Mittlerweile tourt er fleißig durch die Lande, bei seinen Auftritten spielt er regelmäßig die vielen neuen Tracks, die demnächst auf verschiedenen Labels erscheinen werden. Grund genug, den Hot Shot mal zu uns einzuladen. Wir finden: Keinesfalls verpassen!",420052,http://prinz.de/stuttgart/events/420052-bakermat-1,2014-06-18 11:00:00+00:00,False,11783,http://prinz.de/stuttgart/locations/11783-romy-s/,Romy S.,Romy S.,Germany,Stuttgart,70173,Lange Str. 7,Lange Str. 7,48.7758268,9.1738894,party/house,,,54b382611f5366d1cef32a180582c2cc0d9b72b005e431d0c06e9a781cfe19db,,,,2,2014,6,summer,Europaviertel,party,house,11:00:00,Morning
prinz.de/stuttgart/events/503671-techno-therapy-1,prinz.de,Techno Therapy,"Wer Therapie in Form von Musik sucht, ist im City Department richtig. Die DJs 
Agent!, Harry Nash, Marco Bastione, und Femcat geben ihr Bestes, um dich mit elektronischer Musik in Schwung zu bringen.",503671,http://prinz.de/stuttgart/events/503671-techno-therapy-1,2015-05-13 11:00:00+00:00,False,12843,http://prinz.de/stuttgart/locations/12843-toy-city-department/,Toy / City Department,Toy / City Department,Germany,Stuttgart,70173,Königstr. 51,Königstr. 51,48.77341015,9.17527043,party/techno,,http://www.city-department.de/,194db4259b4f3eac951db897f9c79bfe8c6aa1db5afd2bd9e4aa290787217f34,,,,2,2015,5,spring,Europaviertel,party,techno,11:00:00,Morning
prinz.de/stuttgart/events/224553-bosch-all-stars-1,prinz.de,Bosch All Stars,Die Band bringt lässig swingenden Oldtime Jazz auf die Bühne.,224553,http://prinz.de/stuttgart/events/224553-bosch-all-stars-1,2012-10-10 08:00:00+00:00,False,11596,http://prinz.de/stuttgart/locations/11596-traditional-jazz-hall/,Traditional Jazz Hall,Traditional Jazz Hall,Germany,Stuttgart,70178,Marienstr. 3b,Marienstr. 3b,48.773267,9.17319,konzert/jazzchanson,,,32e590010778f4e712dda53609b0b14c0a198515951ddd4205b70b312d32cdb9,,,,2,2012,10,autumn,Karlshöhe,konzert,jazzchanson,08:00:00,Morning
prinz.de/stuttgart/events/222554-wer-sich-bewegt-bewegt-1,prinz.de,"Wer sich bewegt, bewegt","Heute gibt's Mitmachaktionen mit Vocal- und Bodypercussion, Singen, Bewegung, Marionettentheater und Konzerte.",222554,http://prinz.de/stuttgart/events/222554-wer-sich-bewegt-bewegt-1,2012-10-03 11:00:00+00:00,False,14003,http://prinz.de/stuttgart/locations/14003-generationenhaus-heslach/,Generationenhaus Heslach,Generationenhaus Heslach,Germany,Stuttgart,70199,Gebrüder-Schmid-Weg 13,Gebrüder-Schmid-Weg 13,48.76303,9.15849,stadtleben/special-events,,,b7369f2114b564348898302a50ae234f223804393731b9a01fc66ecb5b84b854,,,,2,2012,10,autumn,Südheim,stadtleben,special-events,11:00:00,Morning
prinz.de/stuttgart/events/220383-rosenberg-oder-tal-xxxl-9,prinz.de,Rosenberg oder Tal XXXL,"Ein Feuerwerk satter Rosenbergsounds kommt von Chris David, währen die Jungs von Foxx Flow in den anderen Bereichen für musikalische Abwechslung sorgen. Die Jägermeister Blaskapelle ist auch dabei.",220383,http://prinz.de/stuttgart/events/220383-rosenberg-oder-tal-xxxl-9,2012-10-31 08:00:00+00:00,False,12212,http://prinz.de/stuttgart/locations/12212-perkins-park/,Perkins Park,Perkins Park,Germany,Stuttgart,70191,Stresemannstr. 39,Stresemannstr. 39,48.80476138,9.17459728,party/popcharts,,,717a666b87b1a9f9aaa4ff2f0f621397d2fadb91d3867714b12cc9b821a865e5,,,,2,2012,10,autumn,Am Rosensteinpark,party,popcharts,08:00:00,Morning
